ISO3,Country Name,Capital
ALB,Albania,Tirana
DZA,Algeria,Algiers
AND,Andorra,Andorra la Vella
AGO,Angola,Luanda
ATG,Antigua and Barbuda,"Saint John's"
ARG,Argentina,Buenos Aires
ARM,Armenia,Yerevan
AUS,Australia,Canberra
AUT,Austria,Vienna
AZE,Azerbaijan,Baku
BHS,Bahamas,Nassau
BHR,Bahrain,Manama
BGD,Bangladesh,Dhaka
BRB,Barbados,Bridgetown
BLR,Belarus,Minsk
BEL,Belgium,Brussels
BLZ,Belize,Belmopan
BEN,Benin,Porto-Novo
BTN,Bhutan,Thimphu
BOL,Bolivia (Plurinational State of),Sucre
BIH,Bosnia and Herzegovina,Sarajevo
BWA,Botswana,Gaborone
BRA,Brazil,Brasilia
BRN,Brunei Darussalam,Bandar Seri Begawan
BGR,Bulgaria,Sofia
BFA,Burkina Faso,Ouagadougou
BDI,Burundi,Gitega
CPV,Cabo Verde,Praia
KHM,Cambodia,Phnom Penh
CMR,Cameroon,Yaounde
CAN,Canada,Ottawa
CAF,Central African Republic,Bangui
TCD,Chad,"N'Djamena"
CHL,Chile,Santiago
CHN,China,Beijing
COL,Colombia,Bogotá
COM,Comoros,Moroni
COG,Congo,Brazzaville
COK,Cook Islands,Avarua
CRI,Costa Rica,San Jose
